smiles,IC50
CC(C)NC(=O)C1=CC=CC(=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,10
NC1=CC=CC(=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,15
CC(=O)NC1=CC=CC(=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,80
CS(=O)(=O)NC1=CC=CC(=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,8
OC(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,2
NC(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,6
CNC(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CN(C)C(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,18
CC(C)NC(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CN(C)S(=O)(=O)C1=CC=CC=C1C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CN(C)S(=O)(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,18
CNS(=O)(=O)C1=CC=CC=C1C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CC(C)NS(=O)(=O)C1=CC=CC=C1C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,12
OC1=C(N=C(N2CCCCS2(=O)=O)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,2
CC(C)NS(=O)(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CC(=O)NC1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,4
CS(=O)(=O)NC1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,3
CS(=O)(=O)C1=CC=CC=C1C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,11
CS(=O)(=O)C1=CC=CC(=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,6
CS(=O)(=O)C1=CC=C(C=C1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,9
OC1=C(N=C(C2=CC=C(C=C2)C#N)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,15
OC1=C(N=C(C=2C=COC2)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,23
OC1=C(N=C(C2=CC=CN2)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,12
OC1=C(N=C(N2C=CC=N2)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,4
CC=1C=CN(N1)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,21
OC1=C(N=C(C#N)C2=CC=CN=C12)C3=NN=C(CC4=CC=C(F)C=C4)O3,240
NC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,100
OC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,860
CNC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,120
CC(C)NC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,190
OCCNC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,130
